,200000_201500_train_weight,200000_201500_train_std,200000_201500_val_weight,200000_201500_val_std,200100_201600_train_weight,200100_201600_train_std,200100_201600_val_weight,200100_201600_val_std,200200_201700_train_weight,200200_201700_train_std,200200_201700_val_weight,200200_201700_val_std,200300_201800_train_weight,200300_201800_train_std,200300_201800_val_weight,200300_201800_val_std,200400_201900_train_weight,200400_201900_train_std,200400_201900_val_weight,200400_201900_val_std,200500_202000_train_weight,200500_202000_train_std,200500_202000_val_weight,200500_202000_val_std
18_ROE pct chg,1.430511474609375e-07,6.63729234079125e-08,-4.1723251342773435e-08,1.4600096599955428e-08,-4.947185516357422e-07,1.8502994524435471e-06,2.682209014892578e-07,2.808384654376446e-07,-1.0132789611816406e-06,8.135542749937052e-07,1.2040138244628906e-06,2.7740183539915313e-07,3.5762786865234374e-08,1.1920928955078126e-08,-2.2053718566894532e-07,3.4785834458863434e-07,2.5510787963867186e-06,1.0981822186712084e-06,-9.953975677490234e-07,8.08209092366734e-07,0.0,0.0,0.0,0.0
18_ROE pct chg_sft_1,3.5762786865234374e-08,2.9200193199910855e-08,8.344650268554687e-08,7.633118912497579e-08,1.925230026245117e-06,7.683221361313829e-07,-3.2961368560791014e-06,8.159952062330504e-06,-1.1920928955078125e-07,2.950279395762582e-07,9.5367431640625e-08,6.078504936209661e-08,5.960464477539063e-09,1.1920928955078126e-08,-5.960464477539063e-08,0.0,2.4437904357910154e-07,3.2395549396756156e-07,-6.556510925292969e-08,1.8010468337308748e-06,0.0,0.0,0.0,0.0
18_ROE pct chg_sft_2,-1.1920928955078126e-08,2.3841857910156255e-08,1.7881393432617187e-08,5.527507362065139e-08,,,,,-2.3245811462402343e-07,1.0392424925662692e-07,-1.3113021850585939e-07,2.609022692232047e-07,0.0,0.0,-3.5762786865234374e-08,2.920019319991086e-08,6.645917892456055e-06,8.688795409866125e-07,-1.150369644165039e-06,1.1993129950097143e-06,0.0,0.0,0.0,0.0
18_ROE pct chg_sft_3,-4.76837158203125e-08,4.042583693936627e-08,-2.9802322387695312e-08,0.0,,,,,7.033348083496094e-07,6.652262891914227e-07,1.9669532775878905e-07,2.838620754229114e-06,,,,,,,,,0.0,0.0,0.0,0.0
19_CAPEX To Assets,0.00023479461669921874,4.3008171624261215e-05,0.0001122891902923584,6.0195127078968085e-05,0.0014153003692626953,0.00023180406406930968,0.0010306954383850098,0.0007889358789795954,-0.0011301100254058837,0.0008944976357359411,-0.0007651448249816895,0.002701829112507113,1.0037422180175782e-05,1.0303389993535553e-05,0.00010308027267456055,0.0002006468594088548,0.002367103099822998,0.00024393849482211947,0.0007991671562194824,0.0005688544956640012,0.0,0.0,5.960464477539063e-09,1.1920928955078127e-08
19_CAPEX To Assets_sft_1,0.0003220081329345703,6.095783485723454e-05,-0.00013005733489990234,0.00019946815533314916,0.001899087429046631,0.00033422846792056585,0.0021690726280212402,0.0007970253161789897,-0.0008261442184448242,0.0005864019839557659,0.000804436206817627,0.00019491731328651765,-0.0002044975757598877,1.5368285272073673e-05,0.0007342755794525147,0.0007575299451140403,0.0032811582088470457,0.00013202546761763079,0.0001482725143432617,0.0007164738374363785,5.960464477539063e-09,1.1920928955078126e-08,-2.384185791015625e-08,3.4755181639464503e-08
19_CAPEX To Assets_sft_2,0.0003880441188812256,2.336202208096954e-05,-8.310675621032715e-05,0.00013047998944453257,,,,,-0.0005817472934722901,0.001246937442294174,0.00032933354377746583,0.00061553282179573,0.0011428534984588624,3.761812188642087e-05,-6.225109100341797e-05,0.0001417394510023859,0.00282784104347229,0.00011815987046239623,-0.0004890620708465576,0.0003314329494424734,5.960464477539063e-09,1.1920928955078127e-08,-1.1920928955078126e-08,4.460403188197543e-08
19_CAPEX To Assets_sft_3,0.00013763904571533202,1.1244674920903764e-05,1.4638900756835937e-05,3.905916703266426e-05,,,,,0.0002086639404296875,0.000570371920168864,-0.001274925470352173,0.0006951942031342691,,,,,,,,,0.0,0.0,-1.1920928955078126e-08,2.3841857910156255e-08
1_Inventory,-2.384185791015625e-08,4.3800289799866286e-08,-2.384185791015625e-08,2.2302015940987716e-08,-9.059906005859375e-07,1.4753323566077965e-06,-2.6047229766845705e-06,4.871896985675257e-05,2.9802322387695312e-08,0.0,1.0132789611816406e-07,2.384185791015625e-08,7.152557373046875e-07,0.0,-1.1920928955078126e-08,2.3841857910156255e-08,-3.159046173095703e-07,4.067116286571498e-07,3.5762786865234374e-08,2.2302015940987716e-08,0.0,0.0,0.0,0.0
1_Inventory_sft_1,-6.556510925292969e-08,3.47551816394645e-08,-5.960464477539063e-09,7.633118912497579e-08,2.2530555725097655e-06,7.407843086101988e-06,-4.947185516357422e-07,1.286687442357713e-07,1.7881393432617188e-07,1.9405866379856712e-07,-1.1920928955078126e-08,1.460009659995543e-08,0.0,0.0,-5.960464477539063e-08,9.233911862867873e-08,4.1723251342773435e-08,1.1403039973800772e-07,2.384185791015625e-08,2.2302015940987716e-08,0.0,0.0,0.0,0.0
