index_ric,tr_indexname,tr_indexjlconstituentchangedate,tr_indexjlconstituentric,tr_indexjlconstituentname,tr_indexjlconstituentcomname,constituent_ric
.SPX,S&P 500,1999-10-13T00:00:00Z,DGN.N^J99,Data General,Data General Corp,DGN.N
.SPX,S&P 500,1999-10-18T00:00:00Z,CYM.N^L99,Cyprus Amax,Cyprus Amax Minerals Co,CYM.N
.SPX,S&P 500,1999-10-26T00:00:00Z,SNT.N^J99,Sonat,Sonat Inc,SNT.N
.SPX,S&P 500,1999-10-27T00:00:00Z,AR.N^K99,ASARCO,Asarco Inc,AR.N
.SPX,S&P 500,1999-11-05T00:00:00Z,TEN.N,Tenneco,Tenneco Inc,TEN.N
.SPX,S&P 500,1999-11-08T00:00:00Z,LHX.N,L3harris Tech,L3harris Technologies Inc,LHX.N
.SPX,S&P 500,1999-11-15T00:00:00Z,CSE.N^K99,CNH Ind,CNH Industrial America LLC,CSE.N
.SPX,S&P 500,1999-11-16T00:00:00Z,KWP.N^K99,King World Prod,King World Productions Inc,KWP.N
.SPX,S&P 500,1999-11-30T00:00:00Z,PPW.N^L99,PacifiCorp,Pacificorp,PPW.N
.SPX,S&P 500,1999-11-30T00:00:00Z,ALT.N^K99,Allegheny Tech,Allegheny Technologies Inc,ALT.N
.SPX,S&P 500,1999-12-01T00:00:00Z,MOB.N^K99,Mobil,Mobil Corp,MOB.N
.SPX,S&P 500,1999-12-08T00:00:00Z,LDW.N^L00,Firstgroup Intl,Firstgroup International Inc,LDW.N
.SPX,S&P 500,1999-12-31T00:00:00Z,HP.N,Helmerich,Helmerich and Payne Inc,HP.N
.SPX,S&P 500,2000-01-03T00:00:00Z,RNB.N^L99,RNYSC,Republic New York Securities Corp,RNB.N
.SPX,S&P 500,2000-01-31T00:00:00Z,CNG.N^A00,Cons Natural Gas,Consolidated Natural Gas Co,CNG.N
.SPX,S&P 500,2000-01-31T00:00:00Z,FWC.N^K02,Foter Wheler,Foster Wheeler AG,FWC.N
.SPX,S&P 500,2000-01-31T00:00:00Z,FLE.N^A09,Fleetwood Enter,Fleetwood Enterprises Inc,FLE.N
.SPX,S&P 500,2000-03-16T00:00:00Z,SCI.N,Service corp,Service Corporation International,SCI.N
.SPX,S&P 500,2000-04-03T00:00:00Z,PNU.N^C00,Pharmacia Upjhn,Pharmacia & Upjohn Company Inc,PNU.N
.SPX,S&P 500,2000-04-03T00:00:00Z,PBY.N^B16,Pep Boys - Manny,Pep Boys - Manny Moe & Jack,PBY.N
.SPX,S&P 500,2000-04-18T00:00:00Z,ARC.N^D00,Atlantic Richfld,Atlantic Richfield Co,ARC.N
.SPX,S&P 500,2000-05-05T00:00:00Z,CBS.N^E00,CBS Co,CBS Corp (PENNSYLVANIA),CBS.N
.SPX,S&P 500,2000-05-05T00:00:00Z,RLM.N^E00,Reynolds Metals,Reynolds Metals Co,RLM.N
.SPX,S&P 500,2000-05-10T00:00:00Z,JOS.N^E00,Jostens,Jostens Inc,JOS.N
.SPX,S&P 500,2000-06-01T00:00:00Z,MIR.N^E00,Mirage Resorts,Mirage Resorts LLC,MIR.N
.SPX,S&P 500,2000-06-05T00:00:00Z,NC.N,NACCO Industries,NACCO Industries Inc,NC.N
.SPX,S&P 500,2000-06-08T00:00:00Z,SMS.N^G00,Siemens Medical,Siemens Medical Solutions Health Services Corp,SMS.N
.SPX,S&P 500,2000-06-13T00:00:00Z,TMC.N^F00,Times Mirror,Times Mirror Co,TMC.N
.SPX,S&P 500,2000-06-15T00:00:00Z,CSR.N^F00,AEP Texas,AEP Texas Inc,CSR.N
.SPX,S&P 500,2000-06-15T00:00:00Z,UMG.N^F00,Comcast MO Grp,Comcast MO Group Llc,UMG.N
.SPX,S&P 500,2000-06-19T00:00:00Z,CHA.N^F00,Champion Intl,Champion International Corp,CHA.N
.SPX,S&P 500,2000-06-21T00:00:00Z,SGI.N^K05,Graphics Prpty,Graphics Properties Holdings Inc,SGI.N
.SPX,S&P 500,2000-06-26T00:00:00Z,WLA.N^F00,Warner Lambert,Warner-Lambert Company LLC,WLA.N
.SPX,S&P 500,2000-06-29T00:00:00Z,IKN.N^K08,Ricoh USA,Ricoh USA Inc,IKN.N
.SPX,S&P 500,2000-06-29T00:00:00Z,MZ.N^E08,MI 2009,MI 2009 Inc,MZ.N
.SPX,S&P 500,2000-07-03T00:00:00Z,GTE.N^G00,GTE,GTE Corp,GTE.N
.SPX,S&P 500,2000-07-13T00:00:00Z,KSU.N,KC Southern,Kansas City Southern,KSU.N
.SPX,S&P 500,2000-07-17T00:00:00Z,UPR.N^G00,Anadarko Hldg,Union Pacific Resource Group Inc,UPR.N
.SPX,S&P 500,2000-07-27T00:00:00Z,RAD.N,Rite Aid,Rite Aid Corp,RAD.N
.SPX,S&P 500,2000-07-28T00:00:00Z,COMS.OQ^D10,3Com,3Com Corp,COMS.OQ
.SPX,S&P 500,2000-08-21T00:00:00Z,NCE.N^H00,New Century Ener,New Century Energies Inc,NCE.N
.SPX,S&P 500,2000-08-30T00:00:00Z,GAP.N^L10,Great Atlantic,Great Atlantic & Pacific Tea Company Inc,GAP.N
.SPX,S&P 500,2000-10-02T00:00:00Z,OWC.N^L02,Owens Corning,Owens Corning,OWC.N
.SPX,S&P 500,2000-10-03T00:00:00Z,DNB.N^B19,Dun & Bradstreet,Dun & Bradstreet Corp,DNB.N
.SPX,S&P 500,2000-10-03T00:00:00Z,BFO.N^J00,Best Foods,Best Foods Inc,BFO.N
.SPX,S&P 500,2000-10-04T00:00:00Z,YNR.N^J00,Young and Rubica,Young and Rubicam Inc,YNR.N
.SPX,S&P 500,2000-10-18T00:00:00Z,MKG.N^J00,Mallinckro,Mallinckrodt LLC,MKG.N
.SPX,S&P 500,2000-10-23T00:00:00Z,UCM.N^J00,Unicom Corp,Unicom Corp,UCM.N
.SPX,S&P 500,2000-11-02T00:00:00Z,EFU.N^K00,Eastern Enter,Eastern Enterprises,EFU.N
.SPX,S&P 500,2000-11-02T00:00:00Z,CG.N^K00,Columbia Energy,Columbia Energy Group,CG.N
.SPX,S&P 500,2000-11-06T00:00:00Z,PWJ.N^K00,Paine Webber,Paine Webber Group Inc,PWJ.N
.SPX,S&P 500,2000-11-22T00:00:00Z,SEG.N^K00,Veritas Soft,Veritas Software Technology Corp,SEG.N
.SPX,S&P 500,2000-11-24T00:00:00Z,FJ.N^K00,Fort James,Fort James Corp,FJ.N
.SPX,S&P 500,2000-12-01T00:00:00Z,FPC.N^K00,Florida Progress,Florida Progress Corp,FPC.N
.SPX,S&P 500,2000-12-04T00:00:00Z,AFS.N^L00,Associates First,Associates First Capital Corp,AFS.N
.SPX,S&P 500,2000-12-11T00:00:00Z,GRA.N,W R Grace,W R Grace & Co,GRA.N
.SPX,S&P 500,2000-12-11T00:00:00Z,CCK.N,Crown Holdings,Crown Holdings Inc,CCK.N
.SPX,S&P 500,2000-12-11T00:00:00Z,BHMSQ.OB^A04,Bethlehem Steel,Bethlehem Steel Corp,BHMSQ.OB
.SPX,S&P 500,2000-12-11T00:00:00Z,VO.N^L00,Vivendi Exchang,Vivendi Exchangeco Inc (Pre-Merger),VO.N
.SPX,S&P 500,2000-12-11T00:00:00Z,OI.N,O-I Glass,O-I Glass Inc,OI.N
.SPX,S&P 500,2000-12-12T00:00:00Z,NGH.N^L00,Nabisco Grp Hldg,Nabisco Group Holding Corp,NGH.N
.SPX,S&P 500,2000-12-12T00:00:00Z,PRD.N^J01,Primary PDC,Primary PDC Inc,PRD.N
.SPX,S&P 500,2000-12-12T00:00:00Z,RML.N^H06,Russell,Russell Corp,RML.N
.SPX,S&P 500,2000-12-12T00:00:00Z,SMI.N^I01,Springs Inds,Springs Industries Inc,SMI.N
.SPX,S&P 500,2000-12-14T00:00:00Z,AET.N^K18,Aetna,Aetna Inc,AET.N
